text,sentiment
"Las goteras no están solucionadas. Necesitamos reparación."


"Las humedades persisten. Urgente atención necesaria."
"Problemas recurrentes con las humedades. Necesitamos solución inmediata."
"Humedades no resueltas. Se requiere atención urgente."
"Inconvenientes constantes con las humedades. Arreglo necesario."
"Las humedades no están solucionadas. Necesitamos reparación."


"Las grietas persisten. Necesitamos reparación urgente."
"Problemas recurrentes con las grietas. Urgente solución solicitada."
"Grietas no resueltas. Se requiere atención inmediata."
"Inconvenientes constantes con las grietas. Arreglo necesario."
"Las grietas no están solucionadas. Necesitamos reparación."


"La suciedad persiste. Necesitamos limpieza urgente."
"Problemas recurrentes con la suciedad. Urgente atención solicitada."
"Suciedad no resuelta. Se requiere limpieza inmediata."
"Inconvenientes constantes con la suciedad. Arreglo necesario."
"La suciedad no está solucionada. Necesitamos limpieza."


"Los ruidos persisten. Necesitamos solución urgente."
"Problemas recurrentes con los ruidos. Urgente reparación solicitada."
"Ruidos no resueltos. Se requiere atención inmediata."
"Inconvenientes constantes con los ruidos. Arreglo necesario."
"Los ruidos no están solucionados. Necesitamos reparación."


"El conflicto persiste. Necesitamos mediación urgente."
"Problemas recurrentes con el conflicto. Urgente solución solicitada."
"Conflicto no resuelto. Se requiere atención inmediata."
"Inconvenientes constantes con el conflicto. Arreglo necesario."
"El conflicto no está solucionado. Necesitamos mediación."


"Ascensor sigue fallando. Pésima experiencia."
"Problemas persistentes. El ascensor necesita arreglo urgente."
"Ascensor sigue siendo un problema. No estamos satisfechos."
"Inconvenientes continúan. Necesitamos solución inmediata."
"Ascensor no está bien. Demandamos atención urgente."


"Tuberías siguen dando problemas. Necesitamos reparación ya."
"Problemas recurrentes. Tuberías requieren solución urgente."
"Líos constantes. Las tuberías no están bien."
"Tuberías no resueltas. Urgente atención necesaria."
"Problemas persistentes. Exigimos arreglo inmediato."


"Luz sigue siendo un problema. Necesitamos solución."
"Problemas con iluminación persisten. Arreglo urgente requerido."
"Luz intermitente. Atención inmediata necesaria."
"Iluminación no está resuelta. Necesitamos solución rápida."
"Problemas constantes. Exigimos arreglo urgente."


"Goteras persisten. Necesitamos reparación urgente."
"Problemas recurrentes. Goteras requieren solución inmediata."
"Goteras no resueltas. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Goteras no están solucionadas. Demandamos reparación."


"Humedades persisten. Necesitamos atención urgente."
"Problemas recurrentes. Humedades requieren solución inmediata."
"Humedades no resueltas. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Humedades no están solucionadas. Demandamos reparación."


"Grietas persisten. Necesitamos reparación urgente."
"Problemas recurrentes. Grietas requieren solución inmediata."
"Grietas no resueltas. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Grietas no están solucionadas. Demandamos reparación."


"Suciedad persiste. Necesitamos limpieza urgente."
"Problemas recurrentes. Suciedad requiere solución inmediata."
"Suciedad no resuelta. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Suciedad no está solucionada. Demandamos limpieza."


"Ruidos persisten. Necesitamos solución urgente."
"Problemas recurrentes. Ruidos requieren solución inmediata."
"Ruidos no resueltos. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Ruidos no están solucionados. Demandamos reparación."


"Conflicto persiste. Necesitamos mediación urgente."
"Problemas recurrentes. Conflicto requiere solución inmediata."
"Conflicto no resuelto. Atención urgente necesaria."
"Inconvenientes constantes. Exigimos arreglo necesario."
"Conflicto no está solucionado. Demandamos mediación."
